dataset,risk,cal_harm_budget,gain,harm,worst_drop,harmed_rate,revert_rate,action
isic2018_task1,geom,0.00,+0.0000,0.0000,+0.0000,0.000,1.000,host
isic2018_task1,geom,0.01,+0.0000,0.0000,+0.0000,0.000,1.000,host
isic2018_task1,geom,0.05,+0.0000,0.0000,+0.0000,0.000,1.000,host
isic2018_task1,geom,0.10,+0.0000,0.0000,+0.0000,0.000,1.000,host
isic2018_task1,geom,0.25,+0.0117,0.0040,-0.2927,0.170,0.212,isic2018_task1:binary_morph:a11.00
kvasir_seg_endo_graphseg_e120,geom,0.00,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_graphseg_e120,geom,0.01,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_graphseg_e120,geom,0.05,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_graphseg_e120,geom,0.10,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_graphseg_e120,geom,0.25,+0.0095,0.0016,-0.0917,0.040,0.707,kvasir_seg_endo_graphseg_e120:binary_morph:a5.00
kvasir_seg_endo_unet_e120,geom,0.00,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_unet_e120,geom,0.01,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_unet_e120,geom,0.05,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_unet_e120,geom,0.10,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_unet_e120,geom,0.25,+0.0000,0.0000,+0.0000,0.040,0.907,kvasir_seg_endo_unet_e120:binary_morph:a11.00
ph2_unet_e120,geom,0.00,+0.0000,0.0000,+0.0000,0.000,1.000,host
ph2_unet_e120,geom,0.01,+0.0000,0.0000,+0.0000,0.000,1.000,host
ph2_unet_e120,geom,0.05,+0.0000,0.0000,+0.0000,0.000,1.000,host
ph2_unet_e120,geom,0.10,+0.0000,0.0000,+0.0000,0.000,1.000,host
ph2_unet_e120,geom,0.25,+0.0000,0.0000,+0.0000,0.000,1.000,host
polyps_official_endo_graphseg_e120,geom,0.00,+0.0000,0.0000,+0.0000,0.000,1.000,host
polyps_official_endo_graphseg_e120,geom,0.01,+0.0000,0.0000,+0.0000,0.000,1.000,host
polyps_official_endo_graphseg_e120,geom,0.05,+0.0000,0.0000,+0.0000,0.000,1.000,host
polyps_official_endo_graphseg_e120,geom,0.10,+0.0000,0.0000,+0.0000,0.000,1.000,host
polyps_official_endo_graphseg_e120,geom,0.25,+0.0000,0.0000,-0.0187,0.003,0.982,polyps_official_endo_graphseg_e120:binary_morph:a11.00
